Month	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
30	-0.3101	12.7055	0.12587	8.9	10.0	11.2	12.7	14.4	16.5	19.0
31	-0.3120	12.9006	0.12633	9.0	10.1	11.4	12.9	14.7	16.8	19.3
32	-0.3138	13.0930	0.12683	9.1	10.3	11.6	13.1	14.9	17.1	19.6
33	-0.3155	13.2837	0.12737	9.3	10.4	11.7	13.3	15.1	17.3	20.0
34	-0.3171	13.4731	0.12794	9.4	10.5	11.9	13.5	15.4	17.6	20.3
35	-0.3186	13.6618	0.12855	9.5	10.7	12.0	13.7	15.6	17.9	20.6
36	-0.3201	13.8503	0.12919	9.6	10.8	12.2	13.9	15.8	18.1	20.9
37	-0.3216	14.0385	0.12988	9.7	10.9	12.4	14.0	16.0	18.4	21.3
38	-0.3230	14.2265	0.13059	9.8	11.1	12.5	14.2	16.3	18.7	21.6
39	-0.3243	14.4140	0.13135	9.9	11.2	12.7	14.4	16.5	19.0	22.0
40	-0.3257	14.6010	0.13213	10.1	11.3	12.8	14.6	16.7	19.2	22.3
41	-0.3270	14.7873	0.13293	10.2	11.5	13.0	14.8	16.9	19.5	22.7
42	-0.3283	14.9727	0.13376	10.3	11.6	13.1	15.0	17.2	19.8	23.0
43	-0.3296	15.1573	0.13460	10.4	11.7	13.3	15.2	17.4	20.1	23.4
44	-0.3309	15.3410	0.13545	10.5	11.8	13.4	15.3	17.6	20.4	23.7
45	-0.3322	15.5240	0.13630	10.6	12.0	13.6	15.5	17.8	20.7	24.1
46	-0.3335	15.7064	0.13716	10.7	12.1	13.7	15.7	18.1	20.9	24.5
47	-0.3348	15.8882	0.13800	10.8	12.2	13.9	15.9	18.3	21.2	24.8
48	-0.3361	16.0697	0.13884	10.9	12.3	14.0	16.1	18.5	21.5	25.2
49	-0.3374	16.2511	0.13968	11.0	12.4	14.2	16.3	18.8	21.8	25.5
50	-0.3387	16.4322	0.14051	11.1	12.6	14.3	16.4	19.0	22.1	25.9
51	-0.3400	16.6133	0.14132	11.2	12.7	14.5	16.6	19.2	22.4	26.3
52	-0.3414	16.7942	0.14213	11.3	12.8	14.6	16.8	19.4	22.6	26.6
53	-0.3427	16.9748	0.14293	11.4	12.9	14.8	17.0	19.7	22.9	27.0
54	-0.3440	17.1551	0.14371	11.5	13.0	14.9	17.2	19.9	23.2	27.4
55	-0.3453	17.3347	0.14448	11.6	13.2	15.1	17.3	20.1	23.5	27.7
56	-0.3466	17.5136	0.14525	11.7	13.3	15.2	17.5	20.3	23.8	28.1
57	-0.3479	17.6916	0.14600	11.8	13.4	15.3	17.7	20.6	24.1	28.5
58	-0.3492	17.8686	0.14675	11.9	13.5	15.5	17.9	20.8	24.4	28.8
59	-0.3505	18.0445	0.14748	12.0	13.6	15.6	18.0	21.0	24.6	29.2
60	-0.3518	18.2193	0.14821	12.1	13.7	15.8	18.2	21.2	24.9	29.5
