Height	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
79	-0.3833	10.0289	0.08943	7.8	8.4	9.2	10.0	11.0	12.1	13.3
79.5	-0.3833	10.1298	0.08937	7.8	8.5	9.3	10.1	11.1	12.2	13.4
80	-0.3833	10.2332	0.08932	7.9	8.6	9.4	10.2	11.2	12.3	13.6
80.5	-0.3833	10.3393	0.08926	8.0	8.7	9.5	10.3	11.3	12.4	13.7
81	-0.3833	10.4477	0.08921	8.1	8.8	9.6	10.4	11.4	12.6	13.9
81.5	-0.3833	10.5586	0.08916	8.2	8.9	9.7	10.6	11.6	12.7	14.0
82	-0.3833	10.6719	0.08912	8.3	9.0	9.8	10.7	11.7	12.8	14.1
82.5	-0.3833	10.7874	0.08908	8.4	9.1	9.9	10.8	11.8	13.0	14.3
83	-0.3833	10.9051	0.08905	8.5	9.2	10.0	10.9	11.9	13.1	14.5
83.5	-0.3833	11.0248	0.08902	8.5	9.3	10.1	11.0	12.1	13.3	14.6
84	-0.3833	11.1462	0.08899	8.6	9.4	10.2	11.1	12.2	13.4	14.8
84.5	-0.3833	11.2691	0.08897	8.7	9.5	10.3	11.3	12.3	13.5	14.9
85	-0.3833	11.3934	0.08896	8.8	9.6	10.4	11.4	12.5	13.7	15.1
85.5	-0.3833	11.5186	0.08895	8.9	9.7	10.6	11.5	12.6	13.8	15.3
86	-0.3833	11.6444	0.08895	9.0	9.8	10.7	11.6	12.7	14.0	15.4
86.5	-0.3833	11.7705	0.08895	9.1	9.9	10.8	11.8	12.9	14.2	15.6
87	-0.3833	11.8965	0.08896	9.2	10.0	10.9	11.9	13.0	14.3	15.8
87.5	-0.3833	12.0223	0.08897	9.3	10.1	11.0	12.0	13.2	14.5	15.9
88	-0.3833	12.1478	0.08899	9.4	10.2	11.1	12.1	13.3	14.6	16.1
88.5	-0.3833	12.2729	0.08901	9.5	10.3	11.2	12.3	13.4	14.8	16.3
89	-0.3833	12.3976	0.08904	9.6	10.4	11.4	12.4	13.6	14.9	16.4
89.5	-0.3833	12.5220	0.08907	9.7	10.5	11.5	12.5	13.7	15.1	16.6
90	-0.3833	12.6461	0.08911	9.8	10.6	11.6	12.6	13.8	15.2	16.8
90.5	-0.3833	12.7700	0.08915	9.9	10.7	11.7	12.8	14.0	15.4	16.9
91	-0.3833	12.8939	0.08920	10.0	10.9	11.8	12.9	14.1	15.5	17.1
91.5	-0.3833	13.0177	0.08925	10.1	11.0	11.9	13.0	14.3	15.7	17.3
92	-0.3833	13.1415	0.08931	10.2	11.1	12.0	13.1	14.4	15.8	17.4
92.5	-0.3833	13.2654	0.08937	10.3	11.2	12.1	13.3	14.5	16.0	17.6
93	-0.3833	13.3896	0.08944	10.4	11.3	12.3	13.4	14.7	16.1	17.8
93.5	-0.3833	13.5142	0.08951	10.5	11.4	12.4	13.5	14.8	16.3	17.9
94	-0.3833	13.6393	0.08959	10.6	11.5	12.5	13.6	14.9	16.4	18.1
94.5	-0.3833	13.7650	0.08967	10.7	11.6	12.6	13.8	15.1	16.6	18.3
95	-0.3833	13.8914	0.08975	10.8	11.7	12.7	13.9	15.2	16.7	18.5
95.5	-0.3833	14.0186	0.08984	10.8	11.8	12.8	14.0	15.4	16.9	18.6
96	-0.3833	14.1466	0.08994	10.9	11.9	12.9	14.1	15.5	17.0	18.8
96.5	-0.3833	14.2757	0.09004	11.0	12.0	13.1	14.3	15.6	17.2	19.0
97	-0.3833	14.4059	0.09015	11.1	12.1	13.2	14.4	15.8	17.4	19.2
97.5	-0.3833	14.5376	0.09026	11.2	12.2	13.3	14.5	15.9	17.5	19.3
98	-0.3833	14.6710	0.09037	11.3	12.3	13.4	14.7	16.1	17.7	19.5
98.5	-0.3833	14.8062	0.09049	11.4	12.4	13.5	14.8	16.2	17.9	19.7
99	-0.3833	14.9434	0.09062	11.5	12.5	13.7	14.9	16.4	18.0	19.9
99.5	-0.3833	15.0828	0.09075	11.6	12.7	13.8	15.1	16.5	18.2	20.1
100	-0.3833	15.2246	0.09088	11.7	12.8	13.9	15.2	16.7	18.4	20.3
100.5	-0.3833	15.3687	0.09102	11.9	12.9	14.1	15.4	16.9	18.6	20.5
101	-0.3833	15.5154	0.09116	12.0	13.0	14.2	15.5	17.0	18.7	20.7
101.5	-0.3833	15.6646	0.09131	12.1	13.1	14.3	15.7	17.2	18.9	20.9
102	-0.3833	15.8164	0.09146	12.2	13.3	14.5	15.8	17.4	19.1	21.1
102.5	-0.3833	15.9707	0.09161	12.3	13.4	14.6	16.0	17.5	19.3	21.4
103	-0.3833	16.1276	0.09177	12.4	13.5	14.7	16.1	17.7	19.5	21.6
103.5	-0.3833	16.2870	0.09193	12.5	13.6	14.9	16.3	17.9	19.7	21.8
104	-0.3833	16.4488	0.09209	12.6	13.8	15.0	16.4	18.1	19.9	22.0
104.5	-0.3833	16.6131	0.09226	12.8	13.9	15.2	16.6	18.2	20.1	22.3
105	-0.3833	16.7800	0.09243	12.9	14.0	15.3	16.8	18.4	20.3	22.5
105.5	-0.3833	16.9496	0.09261	13.0	14.2	15.5	16.9	18.6	20.5	22.7
106	-0.3833	17.1220	0.09278	13.1	14.3	15.6	17.1	18.8	20.8	23.0
106.5	-0.3833	17.2973	0.09296	13.3	14.5	15.8	17.3	19.0	21.0	23.2
107	-0.3833	17.4755	0.09315	13.4	14.6	15.9	17.5	19.2	21.2	23.5
107.5	-0.3833	17.6567	0.09333	13.5	14.7	16.1	17.7	19.4	21.4	23.7
108	-0.3833	17.8407	0.09352	13.7	14.9	16.3	17.8	19.6	21.7	24.0
108.5	-0.3833	18.0277	0.09371	13.8	15.0	16.4	18.0	19.8	21.9	24.3
109	-0.3833	18.2174	0.09390	13.9	15.2	16.6	18.2	20.0	22.1	24.5
109.5	-0.3833	18.4096	0.09409	14.1	15.4	16.8	18.4	20.3	22.4	24.8
110	-0.3833	18.6043	0.09428	14.2	15.5	17.0	18.6	20.5	22.6	25.1
110.5	-0.3833	18.8015	0.09448	14.4	15.7	17.1	18.8	20.7	22.9	25.4
111	-0.3833	19.0009	0.09467	14.5	15.8	17.3	19.0	20.9	23.1	25.7
111.5	-0.3833	19.2024	0.09487	14.7	16.0	17.5	19.2	21.2	23.4	26.0
112	-0.3833	19.4060	0.09507	14.8	16.2	17.7	19.4	21.4	23.6	26.2
112.5	-0.3833	19.6116	0.09527	15.0	16.3	17.9	19.6	21.6	23.9	26.5
113	-0.3833	19.8190	0.09546	15.1	16.5	18.0	19.8	21.8	24.2	26.8
113.5	-0.3833	20.0280	0.09566	15.3	16.7	18.2	20.0	22.1	24.4	27.1
114	-0.3833	20.2385	0.09586	15.4	16.8	18.4	20.2	22.3	24.7	27.4
114.5	-0.3833	20.4502	0.09606	15.6	17.0	18.6	20.5	22.6	25.0	27.8
115	-0.3833	20.6629	0.09626	15.7	17.2	18.8	20.7	22.8	25.2	28.1
115.5	-0.3833	20.8766	0.09646	15.9	17.3	19.0	20.9	23.0	25.5	28.4
116	-0.3833	21.0909	0.09666	16.0	17.5	19.2	21.1	23.3	25.8	28.7
116.5	-0.3833	21.3059	0.09686	16.2	17.7	19.4	21.3	23.5	26.1	29.0
117	-0.3833	21.5213	0.09707	16.3	17.8	19.6	21.5	23.8	26.3	29.3
117.5	-0.3833	21.7370	0.09727	16.5	18.0	19.8	21.7	24.0	26.6	29.6
118	-0.3833	21.9529	0.09747	16.6	18.2	19.9	22.0	24.2	26.9	29.9
118.5	-0.3833	22.1690	0.09767	16.8	18.4	20.1	22.2	24.5	27.2	30.3
119	-0.3833	22.3851	0.09788	16.9	18.5	20.3	22.4	24.7	27.4	30.6
119.5	-0.3833	22.6012	0.09808	17.1	18.7	20.5	22.6	25.0	27.7	30.9
120	-0.3833	22.8173	0.09828	17.3	18.9	20.7	22.8	25.2	28.0	31.2
