Height	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
82.5	-0.3521	11.0851	0.08241	8.7	9.4	10.2	11.1	12.1	13.1	14.4
83	-0.3521	11.1966	0.08225	8.8	9.5	10.3	11.2	12.2	13.3	14.5
83.5	-0.3521	11.3114	0.08209	8.9	9.6	10.4	11.3	12.3	13.4	14.6
84	-0.3521	11.4290	0.08191	9.0	9.7	10.5	11.4	12.4	13.5	14.8
84.5	-0.3521	11.5490	0.08174	9.1	9.9	10.7	11.5	12.5	13.7	14.9
85	-0.3521	11.6707	0.08156	9.2	10.0	10.8	11.7	12.7	13.8	15.1
85.5	-0.3521	11.7937	0.08138	9.3	10.1	10.9	11.8	12.8	13.9	15.2
86	-0.3521	11.9173	0.08121	9.4	10.2	11.0	11.9	12.9	14.1	15.4
86.5	-0.3521	12.0411	0.08105	9.5	10.3	11.1	12.0	13.1	14.2	15.5
87	-0.3521	12.1645	0.08090	9.6	10.4	11.2	12.2	13.2	14.4	15.7
87.5	-0.3521	12.2871	0.08076	9.7	10.5	11.3	12.3	13.3	14.5	15.8
88	-0.3521	12.4089	0.08064	9.8	10.6	11.5	12.4	13.5	14.7	16.0
88.5	-0.3521	12.5298	0.08054	9.9	10.7	11.6	12.5	13.6	14.8	16.1
89	-0.3521	12.6495	0.08045	10.0	10.8	11.7	12.6	13.7	14.9	16.3
89.5	-0.3521	12.7683	0.08038	10.1	10.9	11.8	12.8	13.9	15.1	16.4
90	-0.3521	12.8864	0.08032	10.2	11.0	11.9	12.9	14.0	15.2	16.6
90.5	-0.3521	13.0038	0.08028	10.3	11.1	12.0	13.0	14.1	15.3	16.7
91	-0.3521	13.1209	0.08025	10.4	11.2	12.1	13.1	14.2	15.5	16.9
91.5	-0.3521	13.2376	0.08024	10.5	11.3	12.2	13.2	14.4	15.6	17.0
92	-0.3521	13.3541	0.08025	10.6	11.4	12.3	13.4	14.5	15.8	17.2
92.5	-0.3521	13.4705	0.08027	10.7	11.5	12.4	13.5	14.6	15.9	17.3
93	-0.3521	13.5870	0.08031	10.8	11.6	12.6	13.6	14.7	16.0	17.5
93.5	-0.3521	13.7041	0.08036	10.9	11.7	12.7	13.7	14.9	16.2	17.6
94	-0.3521	13.8217	0.08043	11.0	11.8	12.8	13.8	15.0	16.3	17.8
94.5	-0.3521	13.9403	0.08051	11.1	11.9	12.9	13.9	15.1	16.5	17.9
95	-0.3521	14.0600	0.08060	11.1	12.0	13.0	14.1	15.3	16.6	18.1
95.5	-0.3521	14.1811	0.08071	11.2	12.1	13.1	14.2	15.4	16.7	18.3
96	-0.3521	14.3037	0.08083	11.3	12.2	13.2	14.3	15.5	16.9	18.4
96.5	-0.3521	14.4282	0.08097	11.4	12.3	13.3	14.4	15.7	17.0	18.6
97	-0.3521	14.5547	0.08112	11.5	12.4	13.4	14.6	15.8	17.2	18.8
97.5	-0.3521	14.6832	0.08129	11.6	12.5	13.6	14.7	15.9	17.4	18.9
98	-0.3521	14.8140	0.08146	11.7	12.6	13.7	14.8	16.1	17.5	19.1
98.5	-0.3521	14.9468	0.08165	11.8	12.8	13.8	14.9	16.2	17.7	19.3
99	-0.3521	15.0818	0.08185	11.9	12.9	13.9	15.1	16.4	17.9	19.5
99.5	-0.3521	15.2187	0.08206	12.0	13.0	14.0	15.2	16.5	18.0	19.7
100	-0.3521	15.3576	0.08229	12.1	13.1	14.2	15.4	16.7	18.2	19.9
100.5	-0.3521	15.4985	0.08252	12.2	13.2	14.3	15.5	16.9	18.4	20.1
101	-0.3521	15.6412	0.08277	12.3	13.3	14.4	15.6	17.0	18.5	20.3
101.5	-0.3521	15.7857	0.08302	12.4	13.4	14.5	15.8	17.2	18.7	20.5
102	-0.3521	15.9320	0.08328	12.5	13.6	14.7	15.9	17.3	18.9	20.7
102.5	-0.3521	16.0801	0.08354	12.6	13.7	14.8	16.1	17.5	19.1	20.9
103	-0.3521	16.2298	0.08381	12.8	13.8	14.9	16.2	17.7	19.3	21.1
103.5	-0.3521	16.3812	0.08408	12.9	13.9	15.1	16.4	17.8	19.5	21.3
104	-0.3521	16.5342	0.08436	13.0	14.0	15.2	16.5	18.0	19.7	21.6
104.5	-0.3521	16.6889	0.08464	13.1	14.2	15.4	16.7	18.2	19.9	21.8
105	-0.3521	16.8454	0.08493	13.2	14.3	15.5	16.8	18.4	20.1	22.0
105.5	-0.3521	17.0036	0.08521	13.3	14.4	15.6	17.0	18.5	20.3	22.2
106	-0.3521	17.1637	0.08551	13.4	14.5	15.8	17.2	18.7	20.5	22.5
106.5	-0.3521	17.3256	0.08580	13.5	14.7	15.9	17.3	18.9	20.7	22.7
107	-0.3521	17.4894	0.08611	13.7	14.8	16.1	17.5	19.1	20.9	22.9
107.5	-0.3521	17.6550	0.08641	13.8	14.9	16.2	17.7	19.3	21.1	23.2
108	-0.3521	17.8226	0.08673	13.9	15.1	16.4	17.8	19.5	21.3	23.4
108.5	-0.3521	17.9924	0.08704	14.0	15.2	16.5	18.0	19.7	21.5	23.7
109	-0.3521	18.1645	0.08736	14.1	15.3	16.7	18.2	19.8	21.8	23.9
109.5	-0.3521	18.3390	0.08768	14.3	15.5	16.8	18.3	20.0	22.0	24.2
110	-0.3521	18.5158	0.08800	14.4	15.6	17.0	18.5	20.2	22.2	24.4
110.5	-0.3521	18.6948	0.08832	14.5	15.8	17.1	18.7	20.4	22.4	24.7
111	-0.3521	18.8759	0.08864	14.6	15.9	17.3	18.9	20.7	22.7	25.0
111.5	-0.3521	19.0590	0.08896	14.8	16.0	17.5	19.1	20.9	22.9	25.2
112	-0.3521	19.2439	0.08928	14.9	16.2	17.6	19.2	21.1	23.1	25.5
112.5	-0.3521	19.4304	0.08960	15.0	16.3	17.8	19.4	21.3	23.4	25.8
113	-0.3521	19.6185	0.08991	15.2	16.5	18.0	19.6	21.5	23.6	26.0
113.5	-0.3521	19.8081	0.09022	15.3	16.6	18.1	19.8	21.7	23.9	26.3
114	-0.3521	19.9990	0.09054	15.4	16.8	18.3	20.0	21.9	24.1	26.6
114.5	-0.3521	20.1912	0.09085	15.6	16.9	18.5	20.2	22.1	24.4	26.9
115	-0.3521	20.3846	0.09116	15.7	17.1	18.6	20.4	22.4	24.6	27.2
115.5	-0.3521	20.5789	0.09147	15.8	17.2	18.8	20.6	22.6	24.9	27.5
116	-0.3521	20.7741	0.09177	16.0	17.4	19.0	20.8	22.8	25.1	27.8
116.5	-0.3521	20.9700	0.09208	16.1	17.5	19.2	21.0	23.0	25.4	28.0
117	-0.3521	21.1666	0.09239	16.2	17.7	19.3	21.2	23.3	25.6	28.3
117.5	-0.3521	21.3636	0.09270	16.4	17.9	19.5	21.4	23.5	25.9	28.6
118	-0.3521	21.5611	0.09300	16.5	18.0	19.7	21.6	23.7	26.1	28.9
118.5	-0.3521	21.7588	0.09331	16.7	18.2	19.9	21.8	23.9	26.4	29.2
119	-0.3521	21.9568	0.09362	16.8	18.3	20.0	22.0	24.1	26.6	29.5
119.5	-0.3521	22.1549	0.09393	16.9	18.5	20.2	22.2	24.4	26.9	29.8
120	-0.3521	22.3530	0.09424	17.1	18.6	20.4	22.4	24.6	27.2	30.1
