Length	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
84.5	-0.3521	11.3817	0.08198	9	9.7	10.5	11.4	12.4	13.5	14.7
85	-0.3521	11.5007	0.08181	9.1	9.8	10.6	11.5	12.5	13.6	14.9
85.5	-0.3521	11.6218	0.08163	9.2	9.9	10.7	11.6	12.6	13.7	15
86	-0.3521	11.7444	0.08145	9.3	10	10.8	11.7	12.8	13.9	15.2
86.5	-0.3521	11.8678	0.08128	9.4	10.1	11	11.9	12.9	14	15.3
87	-0.3521	11.9916	0.08111	9.5	10.2	11.1	12	13	14.2	15.5
87.5	-0.3521	12.1152	0.08096	9.6	10.4	11.2	12.1	13.2	14.3	15.6
88	-0.3521	12.2382	0.08082	9.7	10.5	11.3	12.2	13.3	14.5	15.8
88.5	-0.3521	12.3603	0.08069	9.8	10.6	11.4	12.4	13.4	14.6	15.9
89	-0.3521	12.4815	0.08058	9.9	10.7	11.5	12.5	13.5	14.7	16.1
89.5	-0.3521	12.6017	0.08048	10	10.8	11.6	12.6	13.7	14.9	16.2
90	-0.3521	12.7209	0.08041	10.1	10.9	11.8	12.7	13.8	15	16.4
90.5	-0.3521	12.8392	0.08034	10.2	11	11.9	12.8	13.9	15.1	16.5
91	-0.3521	12.9569	0.0803	10.3	11.1	12	13	14.1	15.3	16.7
91.5	-0.3521	13.0742	0.08026	10.4	11.2	12.1	13.1	14.2	15.4	16.8
92	-0.3521	13.191	0.08025	10.5	11.3	12.2	13.2	14.3	15.6	17
92.5	-0.3521	13.3075	0.08025	10.6	11.4	12.3	13.3	14.4	15.7	17.1
93	-0.3521	13.4239	0.08026	10.7	11.5	12.4	13.4	14.6	15.8	17.3
93.5	-0.3521	13.5404	0.08029	10.7	11.6	12.5	13.5	14.7	16	17.4
94	-0.3521	13.6572	0.08034	10.8	11.7	12.6	13.7	14.8	16.1	17.6
94.5	-0.3521	13.7746	0.0804	10.9	11.8	12.7	13.8	14.9	16.3	17.7
95	-0.3521	13.8928	0.08047	11	11.9	12.8	13.9	15.1	16.4	17.9
95.5	-0.3521	14.012	0.08056	11.1	12	12.9	14	15.2	16.5	18
96	-0.3521	14.1325	0.08067	11.2	12.1	13.1	14.1	15.3	16.7	18.2
96.5	-0.3521	14.2544	0.08078	11.3	12.2	13.2	14.3	15.5	16.8	18.4
97	-0.3521	14.3782	0.08092	11.4	12.3	13.3	14.4	15.6	17	18.5
97.5	-0.3521	14.5038	0.08106	11.5	12.4	13.4	14.5	15.7	17.1	18.7
98	-0.3521	14.6316	0.08122	11.6	12.5	13.5	14.6	15.9	17.3	18.9
98.5	-0.3521	14.7614	0.08139	11.7	12.6	13.6	14.8	16	17.5	19.1
99	-0.3521	14.8934	0.08157	11.8	12.7	13.7	14.9	16.2	17.6	19.2
99.5	-0.3521	15.0275	0.08177	11.9	12.8	13.9	15	16.3	17.8	19.4
100	-0.3521	15.1637	0.08198	12	12.9	14	15.2	16.5	18	19.6
100.5	-0.3521	15.3018	0.0822	12.1	13	14.1	15.3	16.6	18.1	19.8
101	-0.3521	15.4419	0.08243	12.2	13.2	14.2	15.4	16.8	18.3	20
101.5	-0.3521	15.5838	0.08267	12.3	13.3	14.4	15.6	16.9	18.5	20.2
102	-0.3521	15.7276	0.08292	12.4	13.4	14.5	15.7	17.1	18.7	20.4
102.5	-0.3521	15.8732	0.08317	12.5	13.5	14.6	15.9	17.3	18.8	20.6
103	-0.3521	16.0206	0.08343	12.6	13.6	14.8	16	17.4	19	20.8
103.5	-0.3521	16.1697	0.0837	12.7	13.7	14.9	16.2	17.6	19.2	21
104	-0.3521	16.3204	0.08397	12.8	13.9	15	16.3	17.8	19.4	21.2
104.5	-0.3521	16.4728	0.08425	12.9	14	15.2	16.5	17.9	19.6	21.5
105	-0.3521	16.6268	0.08453	13	14.1	15.3	16.6	18.1	19.8	21.7
105.5	-0.3521	16.7826	0.08481	13.2	14.2	15.4	16.8	18.3	20	21.9
106	-0.3521	16.9401	0.0851	13.3	14.4	15.6	16.9	18.5	20.2	22.1
106.5	-0.3521	17.0995	0.08539	13.4	14.5	15.7	17.1	18.6	20.4	22.4
107	-0.3521	17.2607	0.08568	13.5	14.6	15.9	17.3	18.8	20.6	22.6
107.5	-0.3521	17.4237	0.08599	13.6	14.7	16	17.4	19	20.8	22.8
108	-0.3521	17.5885	0.08629	13.7	14.9	16.2	17.6	19.2	21	23.1
108.5	-0.3521	17.7553	0.0866	13.8	15	16.3	17.8	19.4	21.2	23.3
109	-0.3521	17.9242	0.08691	14	15.1	16.5	17.9	19.6	21.4	23.6
109.5	-0.3521	18.0954	0.08723	14.1	15.3	16.6	18.1	19.8	21.7	23.8
110	-0.3521	18.2689	0.08755	14.2	15.4	16.8	18.3	20	21.9	24.1
