Length	L	M	S	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
78	-0.3833	9.7015	0.08965	7.5	8.2	8.9	9.7	10.6	11.7	12.9
78.5	-0.3833	9.7957	0.08959	7.6	8.2	9.0	9.8	10.7	11.8	13.0
79	-0.3833	9.8915	0.08952	7.7	8.3	9.1	9.9	10.8	11.9	13.1
79.5	-0.3833	9.9892	0.08946	7.7	8.4	9.1	10.0	10.9	12.0	13.3
80	-0.3833	10.0891	0.08940	7.8	8.5	9.2	10.1	11.0	12.1	13.4
80.5	-0.3833	10.1916	0.08934	7.9	8.6	9.3	10.2	11.2	12.3	13.5
81	-0.3833	10.2965	0.08928	8.0	8.7	9.4	10.3	11.3	12.4	13.7
81.5	-0.3833	10.4041	0.08923	8.1	8.8	9.5	10.4	11.4	12.5	13.8
82	-0.3833	10.5140	0.08918	8.1	8.8	9.6	10.5	11.5	12.6	13.9
82.5	-0.3833	10.6263	0.08914	8.2	8.9	9.7	10.6	11.6	12.8	14.1
83	-0.3833	10.7410	0.08910	8.3	9.0	9.8	10.7	11.8	12.9	14.2
83.5	-0.3833	10.8578	0.08906	8.4	9.1	9.9	10.9	11.9	13.1	14.4
84	-0.3833	10.9767	0.08903	8.5	9.2	10.1	11.0	12.0	13.2	14.5
84.5	-0.3833	11.0974	0.08900	8.6	9.3	10.2	11.1	12.1	13.3	14.7
85	-0.3833	11.2198	0.08898	8.7	9.4	10.3	11.2	12.3	13.5	14.9
85.5	-0.3833	11.3435	0.08897	8.8	9.5	10.4	11.3	12.4	13.6	15.0
86	-0.3833	11.4684	0.08895	8.9	9.7	10.5	11.5	12.6	13.8	15.2
86.5	-0.3833	11.5940	0.08895	9.0	9.8	10.6	11.6	12.7	13.9	15.4
87	-0.3833	11.7201	0.08895	9.1	9.9	10.7	11.7	12.8	14.1	15.5
87.5	-0.3833	11.8461	0.08895	9.2	10.0	10.9	11.8	13.0	14.2	15.7
88	-0.3833	11.9720	0.08896	9.3	10.1	11.0	12.0	13.1	14.4	15.9
88.5	-0.3833	12.0976	0.08898	9.4	10.2	11.1	12.1	13.2	14.5	16.0
89	-0.3833	12.2229	0.08900	9.5	10.3	11.2	12.2	13.4	14.7	16.2
89.5	-0.3833	12.3477	0.08903	9.6	10.4	11.3	12.3	13.5	14.8	16.4
90	-0.3833	12.4723	0.08906	9.7	10.5	11.4	12.5	13.7	15.0	16.5
90.5	-0.3833	12.5965	0.08909	9.8	10.6	11.5	12.6	13.8	15.1	16.7
91	-0.3833	12.7205	0.08913	9.9	10.7	11.7	12.7	13.9	15.3	16.9
91.5	-0.3833	12.8443	0.08918	10.0	10.8	11.8	12.8	14.1	15.5	17.0
92	-0.3833	12.9681	0.08923	10.1	10.9	11.9	13.0	14.2	15.6	17.2
92.5	-0.3833	13.0920	0.08928	10.1	11.0	12.0	13.1	14.3	15.8	17.4
93	-0.3833	13.2158	0.08934	10.2	11.1	12.1	13.2	14.5	15.9	17.5
93.5	-0.3833	13.3399	0.08941	10.3	11.2	12.2	13.3	14.6	16.1	17.7
94	-0.3833	13.4643	0.08948	10.4	11.3	12.3	13.5	14.7	16.2	17.9
94.5	-0.3833	13.5892	0.08955	10.5	11.4	12.4	13.6	14.9	16.4	18.0
95	-0.3833	13.7146	0.08963	10.6	11.5	12.6	13.7	15.0	16.5	18.2
95.5	-0.3833	13.8408	0.08972	10.7	11.6	12.7	13.8	15.2	16.7	18.4
96	-0.3833	13.9676	0.08981	10.8	11.7	12.8	14.0	15.3	16.8	18.6
96.5	-0.3833	14.0953	0.08990	10.9	11.8	12.9	14.1	15.4	17.0	18.7
97	-0.3833	14.2239	0.09000	11.0	12.0	13.0	14.2	15.6	17.1	18.9
97.5	-0.3833	14.3537	0.09010	11.1	12.1	13.1	14.4	15.7	17.3	19.1
98	-0.3833	14.4848	0.09021	11.2	12.2	13.3	14.5	15.9	17.5	19.3
98.5	-0.3833	14.6174	0.09033	11.3	12.3	13.4	14.6	16.0	17.6	19.5
99	-0.3833	14.7519	0.09044	11.4	12.4	13.5	14.8	16.2	17.8	19.6
99.5	-0.3833	14.8882	0.09057	11.5	12.5	13.6	14.9	16.3	18.0	19.8
100	-0.3833	15.0267	0.09069	11.6	12.6	13.7	15.0	16.5	18.1	20.0
100.5	-0.3833	15.1676	0.09083	11.7	12.7	13.9	15.2	16.6	18.3	20.2
101	-0.3833	15.3108	0.09096	11.8	12.8	14.0	15.3	16.8	18.5	20.4
101.5	-0.3833	15.4564	0.09110	11.9	13.0	14.1	15.5	17.0	18.7	20.6
102	-0.3833	15.6046	0.09125	12.0	13.1	14.3	15.6	17.1	18.9	20.8
102.5	-0.3833	15.7553	0.09139	12.1	13.2	14.4	15.8	17.3	19.0	21.0
103	-0.3833	15.9087	0.09155	12.3	13.3	14.5	15.9	17.5	19.2	21.3
103.5	-0.3833	16.0645	0.09170	12.4	13.5	14.7	16.1	17.6	19.4	21.5
104	-0.3833	16.2229	0.09186	12.5	13.6	14.8	16.2	17.8	19.6	21.7
104.5	-0.3833	16.3837	0.09203	12.6	13.7	15.0	16.4	18.0	19.8	21.9
105	-0.3833	16.5470	0.09219	12.7	13.8	15.1	16.5	18.2	20.0	22.2
105.5	-0.3833	16.7129	0.09236	12.8	14.0	15.3	16.7	18.4	20.2	22.4
106	-0.3833	16.8814	0.09254	13.0	14.1	15.4	16.9	18.5	20.5	22.6
106.5	-0.3833	17.0527	0.09271	13.1	14.3	15.6	17.1	18.7	20.7	22.9
107	-0.3833	17.2269	0.09289	13.2	14.4	15.7	17.2	18.9	20.9	23.1
107.5	-0.3833	17.4039	0.09307	13.3	14.5	15.9	17.4	19.1	21.1	23.4
108	-0.3833	17.5839	0.09326	13.5	14.7	16.0	17.6	19.3	21.3	23.6
108.5	-0.3833	17.7668	0.09344	13.6	14.8	16.2	17.8	19.5	21.6	23.9
109	-0.3833	17.9526	0.09363	13.7	15.0	16.4	18.0	19.7	21.8	24.2
109.5	-0.3833	18.1412	0.09382	13.9	15.1	16.5	18.1	20.0	22.0	24.4
110	-0.3833	18.3324	0.09401	14.0	15.3	16.7	18.3	20.2	22.3	24.7
