"","year","iso3","nid","survey_series","drop.mn","drop.wn","drop.both"
"138",2000,"CAF",2209,"UNICEF_MICS",0,0,0
"140",2006,"CAF",2223,"UNICEF_MICS",0,0,0
"142",2007,"CHN",60405,"WHO_SAGE",0,0,0
"144",2012,"CHN",298372,"COUNTRY_SPECIFIC",0,0,0
"146",2002,"CHN",21519,"WHO_WHS",0,0,0
"148",2011,"CHN",210592,"ISSP",0,0,0
"150",2012,"CHN",313421,"ISSP",0,0,0
"154",2000,"CHN",294255,"IPUMS_CENSUS",0,0,0
"156",1998,"CIV",18531,"MACRO_DHS",0,0,0
"158",2011,"CIV",18533,"MACRO_DHS",0,0,0
"160",2006,"CIV",26433,"UNICEF_MICS",0,0,0
"162",2005,"CIV",56148,"MACRO_AIS",0,0,0
"164",2000,"CIV",26444,"UNICEF_MICS",0,0,0
"166",2003,"CIV",21543,"WHO_WHS",0,0,0
"168",1998,"CMR",19198,"MACRO_DHS",0,0,0
"170",2004,"CMR",19211,"MACRO_DHS",0,0,0
"172",2011,"CMR",19274,"MACRO_DHS",0,0,0
"174",2006,"CMR",2063,"UNICEF_MICS",0,0,0
"176",2000,"CMR",2053,"UNICEF_MICS",0,0,0
"178",2005,"CMR",105800,"IPUMS_CENSUS",0,0,0
"180",2007,"COD",19381,"MACRO_DHS",0,0,0
"182",2010,"COD",26998,"UNICEF_MICS",0,0,0
"184",2001,"COD",3161,"UNICEF_MICS",0,0,0
"186",2013,"COD",76878,"MACRO_DHS",0,0,0
"188",2014,"COD",76878,"MACRO_DHS",0,0,0
"190",2005,"COG",19391,"MACRO_DHS",0,0,0
"192",2009,"COG",3133,"MACRO_AIS",0,0,0
"194",2011,"COG",56151,"MACRO_DHS",0,0,0
"196",2003,"COG",21535,"WHO_WHS",1,1,1
"198",2004,"COL",19324,"MACRO_DHS",0,0,0
"200",2000,"COL",19359,"MACRO_DHS",0,0,0
"202",2009,"COL",21281,"MACRO_DHS",0,0,0
"204",2016,"COL",218566,"MACRO_DHS",0,0,0
"206",2007,"COL",3100,"COUNTRY_SPECIFIC",0,0,0
"208",2005,"COL",3029,"IPUMS_CENSUS",0,0,0
"210",2012,"COM",76850,"MACRO_DHS",0,0,0
"212",2000,"COM",3114,"UNICEF_MICS",0,0,0
"214",2003,"COM",21527,"WHO_WHS",0,0,0
"216",2011,"CRI",125596,"UNICEF_MICS",0,0,0
"218",2015,"CRI",238431,"COUNTRY_SPECIFIC",0,0,0
"220",2011,"CRI",227111,"IPUMS_CENSUS",0,0,0
"222",2000,"CRI",3243,"IPUMS_CENSUS",0,0,0
"224",2006,"DJI",3404,"UNICEF_MICS",0,0,0
"226",2007,"DOM",19456,"MACRO_DHS",0,0,0
"228",2014,"DOM",200697,"UNICEF_MICS",0,0,0
"230",2000,"DOM",27069,"UNICEF_MICS",0,0,0
"232",2013,"DOM",77819,"MACRO_DHS",0,0,0
"234",2002,"DOM",19444,"MACRO_DHS",0,0,0
"236",2013,"DOM",165645,"MACRO_DHS",0,0,0
"238",2007,"DOM",21198,"MACRO_DHS",0,0,0
"240",1999,"DOM",19431,"MACRO_DHS",0,0,0
"242",2002,"DOM",151296,"IPUMS_CENSUS",0,0,0
"244",2010,"DOM",151304,"IPUMS_CENSUS",0,0,0
"246",2003,"DOM",21567,"WHO_WHS",0,0,0
"248",2012,"DZA",210614,"UNICEF_MICS",0,0,0
"250",2010,"ECU",105801,"IPUMS_CENSUS",0,0,0
"252",2001,"ECU",3549,"IPUMS_CENSUS",0,0,0
"254",2008,"EGY",26842,"MACRO_DHS",0,0,0
"256",2003,"EGY",19529,"MACRO_DHS",0,0,0
"258",2005,"EGY",19521,"MACRO_DHS",0,0,0
"260",2000,"EGY",19511,"MACRO_DHS",0,0,0
"262",2001,"EGY",19511,"MACRO_DHS",0,0,0
"264",2014,"EGY",154897,"MACRO_DHS",0,0,0
"266",2006,"EGY",35578,"IPUMS_CENSUS",0,0,0
"268",2002,"ERI",19539,"MACRO_DHS",0,0,0
"270",2005,"ETH",19557,"MACRO_DHS",0,0,0
"272",2000,"ETH",19571,"MACRO_DHS",0,0,0
"274",2010,"ETH",21301,"MACRO_DHS",0,0,0
"276",2016,"ETH",218568,"MACRO_DHS",0,0,0
"278",2007,"ETH",227133,"IPUMS_CENSUS",0,0,0
"280",2014,"ETH",256175,"JHSPH_PERFORMANCE_MONITORING_ACCOUNTABILITY_SURVEY_PMA2020",1,0,1
"282",2015,"ETH",256176,"JHSPH_PERFORMANCE_MONITORING_ACCOUNTABILITY_SURVEY_PMA2020",1,0,0
"284",2003,"ETH",21591,"WHO_WHS",0,1,0
"286",2007,"FJI",105854,"IPUMS_CENSUS",0,0,0
"288",2000,"GAB",19579,"MACRO_DHS",0,0,0
"290",2012,"GAB",76706,"MACRO_DHS",0,0,0
"292",2014,"GHA",157027,"MACRO_DHS",0,0,0
"294",1998,"GHA",19614,"MACRO_DHS",0,0,0
"296",2003,"GHA",19627,"MACRO_DHS",0,0,0
"298",2008,"GHA",21188,"MACRO_DHS",0,0,0
"300",2016,"GHA",286788,"MACRO_MIS",NA,0,0
"301",2006,"GHA",4694,"UNICEF_MICS",0,0,0
"303",2011,"GHA",63993,"UNICEF_MICS",0,0,0
"305",2007,"GHA",160576,"UNICEF_MICS",NA,0,0
"306",2010,"GHA",151306,"IPUMS_CENSUS",0,0,0
"308",2000,"GHA",38508,"IPUMS_CENSUS",0,0,0
"310",2003,"GHA",21622,"WHO_WHS",0,0,0
"312",2012,"GHA",165101,"WB_LSMS",0,0,0
"314",2005,"GIN",19683,"MACRO_DHS",0,0,0
"316",2012,"GIN",69761,"MACRO_DHS",0,0,0
"318",1999,"GIN",19670,"MACRO_DHS",0,0,0
"320",2000,"GMB",3922,"UNICEF_MICS",0,0,0
"322",2013,"GMB",77384,"MACRO_DHS",0,0,0
"324",2005,"GMB",3935,"UNICEF_MICS",0,0,0
"326",2006,"GNB",4818,"UNICEF_MICS",0,0,0
"328",2000,"GNB",4808,"UNICEF_MICS",0,0,0
"330",2000,"GNQ",3655,"UNICEF_MICS",0,0,0
"332",2015,"GTM",157031,"MACRO_DHS",0,0,0
"334",1998,"GTM",19656,"MACRO_DHS",0,0,0
"336",2009,"GUY",21348,"MACRO_DHS",0,0,0
"338",2005,"GUY",4837,"MACRO_AIS",0,0,0
"340",2006,"GUY",4926,"UNICEF_MICS",0,0,0
"342",2000,"GUY",4916,"UNICEF_MICS",0,0,0
"344",2011,"HND",95440,"MACRO_DHS",0,0,0
"346",2005,"HND",19728,"MACRO_DHS",0,0,0
"348",2000,"HTI",19708,"MACRO_DHS",0,0,0
"350",2005,"HTI",19720,"MACRO_DHS",0,0,0
"352",2012,"HTI",65118,"MACRO_DHS",0,0,0
"354",2003,"HTI",106473,"IPUMS_CENSUS",0,0,0
"356",2011,"IDN",104042,"UNICEF_MICS",0,0,0
"358",2011,"IDN",104043,"UNICEF_MICS",0,0,0
"360",2012,"IDN",76705,"MACRO_DHS",0,0,0
"362",2007,"IDN",20021,"MACRO_DHS",0,0,0
"364",2000,"IDN",27009,"UNICEF_MICS",0,0,0
"366",2002,"IDN",20011,"MACRO_DHS",0,0,0
"370",2005,"IDN",56573,"IPUMS_CENSUS",0,0,0
"372",2011,"IND",129718,"COUNTRY_SPECIFIC",0,0,0
"374",2009,"IND",74309,"COUNTRY_SPECIFIC",0,0,0
"376",2013,"IND",322361,"ISSP",0,0,0
"378",2014,"IND",322400,"ISSP",0,0,0
"380",2007,"IND",80778,"COUNTRY_SPECIFIC",0,0,0
"382",2015,"IND",157050,"MACRO_DHS",0,0,0
"384",2004,"IND",152602,"IPUMS_CENSUS",0,0,0
"386",2005,"IND",19963,"MACRO_DHS",0,0,0
"388",2009,"IND",294537,"IPUMS_CENSUS",0,0,0
"390",1999,"IND",5294,"IPUMS_CENSUS",0,0,0
"393",2007,"IND",66763,"WHO_SAGE",0,0,0
"395",2003,"IND",21653,"WHO_WHS",0,0,0
"397",2014,"IND",225626,"COUNTRY_SPECIFIC",0,0,0
"399",1998,"IND",19950,"MACRO_DHS",0,0,0
"401",2012,"IND",165390,"COUNTRY_SPECIFIC",0,0,0
"404",2006,"IRN",39396,"IPUMS_CENSUS",0,0,0
"406",2011,"IRN",294570,"IPUMS_CENSUS",0,0,0
"408",2006,"IRQ",7028,"UNICEF_MICS",0,0,0
"410",2000,"IRQ",7054,"UNICEF_MICS",0,0,0
"412",2011,"IRQ",76707,"UNICEF_MICS",0,0,0
"414",2011,"JAM",141336,"UNICEF_MICS",0,0,0
"416",2001,"JAM",39450,"IPUMS_CENSUS",0,0,0
"418",2005,"JAM",7149,"UNICEF_MICS",0,0,0
"420",2002,"JOR",20073,"MACRO_DHS",0,0,0
"422",2007,"JOR",20083,"MACRO_DHS",0,0,0
"424",2009,"JOR",21206,"MACRO_DHS",0,0,0
"426",2012,"JOR",77517,"MACRO_DHS",0,0,0
"428",2004,"JOR",39455,"IPUMS_CENSUS",0,0,0
"430",2007,"KEN",133219,"COUNTRY_SPECIFIC",0,0,0
"432",2014,"KEN",157057,"MACRO_DHS",0,0,0
"434",1998,"KEN",20132,"MACRO_DHS",0,0,0
"436",2003,"KEN",20145,"MACRO_DHS",0,0,0
"438",2008,"KEN",21365,"MACRO_DHS",0,0,0
"440",2005,"KEN",7375,"COUNTRY_SPECIFIC",0,0,0
"442",2000,"KEN",7387,"UNICEF_MICS",0,0,0
"444",2009,"KEN",106512,"IPUMS_CENSUS",0,0,0
"446",2012,"KEN",133304,"COUNTRY_SPECIFIC",0,0,0
"448",2011,"KEN",135416,"UNICEF_MICS",0,0,0
"450",1999,"KEN",39481,"IPUMS_CENSUS",0,0,0
"452",1999,"KEN",153943,"COUNTRY_SPECIFIC",0,0,0
"454",2004,"KEN",21684,"WHO_WHS",0,0,0
"456",2010,"KEN",157397,"COUNTRY_SPECIFIC",0,0,0
"458",2012,"KGZ",77518,"MACRO_DHS",0,0,0
"460",2005,"KGZ",7540,"UNICEF_MICS",0,0,0
"462",1998,"KGZ",45989,"WB_LSMS",0,0,0
"464",2014,"KHM",157024,"MACRO_DHS",0,0,0
"466",2013,"KHM",164729,"COUNTRY_SPECIFIC",0,0,0
"468",2000,"KHM",19156,"MACRO_DHS",0,0,0
"470",2005,"KHM",19167,"MACRO_DHS",0,0,0
"472",2004,"KHM",2002,"COUNTRY_SPECIFIC",0,0,0
"474",2001,"KHM",2003,"COUNTRY_SPECIFIC",0,0,0
"476",2000,"KHM",282112,"COUNTRY_SPECIFIC",0,0,0
"478",2010,"KHM",30379,"MACRO_DHS",0,0,0
"480",1998,"KHM",35322,"IPUMS_CENSUS",0,0,0
"482",2008,"KHM",35329,"IPUMS_CENSUS",0,0,0
"484",2011,"LAO",103973,"UNICEF_MICS",0,0,0
"486",2000,"LAO",7618,"UNICEF_MICS",0,0,0
"488",2006,"LBR",20191,"MACRO_DHS",0,0,0
"490",2016,"LBR",286768,"MACRO_MIS",NA,0,0
"491",2011,"LBR",56828,"MACRO_MIS",NA,0,0
"492",2013,"LBR",77385,"MACRO_DHS",0,0,0
"494",2008,"LBR",151310,"IPUMS_CENSUS",0,0,0
"496",2012,"LCA",149906,"UNICEF_MICS",0,0,0
"498",2014,"LSO",157058,"MACRO_DHS",0,0,0
"500",2004,"LSO",20167,"MACRO_DHS",0,0,0
"502",2009,"LSO",21382,"MACRO_DHS",0,0,0
"504",2000,"LSO",7721,"UNICEF_MICS",0,0,0
"506",2003,"MAR",20361,"MACRO_DHS",0,0,0
"508",2004,"MAR",20361,"MACRO_DHS",0,0,0
"510",2004,"MAR",56492,"IPUMS_CENSUS",0,0,0
"512",2003,"MAR",21761,"WHO_WHS",0,1,0
"514",2012,"MDG",125594,"UNICEF_MICS",0,0,0
"516",2003,"MDG",20223,"MACRO_DHS",0,0,0
"518",2008,"MDG",21409,"MACRO_DHS",0,0,0
"520",2016,"MDG",218580,"MACRO_MIS",NA,0,0
"521",2011,"MDG",69806,"MACRO_MIS",NA,0,0
"522",2009,"MDV",21311,"MACRO_DHS",0,0,0
"524",2011,"MEX",105291,"COUNTRY_SPECIFIC",0,0,0
"526",2008,"MEX",105286,"COUNTRY_SPECIFIC",0,0,0
"530",2011,"MEX",81748,"COUNTRY_SPECIFIC",0,0,0
"532",2015,"MEX",294574,"IPUMS_CENSUS",0,0,0
"534",2000,"MEX",43771,"IPUMS_CENSUS",0,0,0
"536",2005,"MEX",43776,"IPUMS_CENSUS",0,0,0
"538",2010,"MEX",56480,"IPUMS_CENSUS",0,0,0
"540",2006,"MLI",20274,"MACRO_DHS",0,0,0
"542",2001,"MLI",20315,"MACRO_DHS",0,0,0
"544",2015,"MLI",218587,"MACRO_MIS",NA,0,0
"545",2012,"MLI",77388,"MACRO_DHS",0,0,0
"547",2009,"MLI",151311,"IPUMS_CENSUS",0,0,0
"549",1998,"MLI",40235,"IPUMS_CENSUS",0,0,0
"551",2003,"MLI",21729,"WHO_WHS",1,1,1
"553",2016,"MMR",157061,"MACRO_DHS",0,0,0
"555",2000,"MMR",8932,"UNICEF_MICS",0,0,0
"557",2003,"MMR",21769,"WHO_WHS",0,0,0
"559",2013,"MNG",150866,"UNICEF_MICS",0,0,0
"563",2000,"MNG",40796,"IPUMS_CENSUS",0,0,0
"565",2010,"MNG",76704,"UNICEF_MICS",0,0,0
"567",2005,"MNG",8777,"UNICEF_MICS",0,0,0
"569",2003,"MOZ",20394,"MACRO_DHS",0,0,0
"571",2011,"MOZ",55975,"MACRO_DHS",0,0,0
"573",2009,"MOZ",8906,"MACRO_AIS",0,0,0
"575",2007,"MOZ",227143,"IPUMS_CENSUS",0,0,0
"577",2011,"MRT",152783,"UNICEF_MICS",0,0,0
"579",2000,"MRT",20322,"MACRO_DHS",0,0,0
"581",2007,"MRT",8115,"UNICEF_MICS",0,0,0
"583",2003,"MRT",21737,"WHO_WHS",0,0,0
"585",2013,"MWI",161662,"UNICEF_MICS",0,0,0
"587",2004,"MWI",20263,"MACRO_DHS",0,0,0
"589",2010,"MWI",21393,"MACRO_DHS",0,0,0
"591",2015,"MWI",218581,"MACRO_DHS",0,0,0
"593",2016,"MWI",218581,"MACRO_DHS",0,0,0
"595",2017,"MWI",286769,"MACRO_MIS",NA,0,0
"596",2012,"MWI",77387,"MACRO_MIS",NA,0,0
"597",2000,"MWI",20252,"MACRO_DHS",0,0,0
"599",2008,"MWI",40186,"IPUMS_CENSUS",0,0,0
"601",1998,"MWI",40179,"IPUMS_CENSUS",0,0,0
"603",2003,"MWI",21713,"WHO_WHS",0,0,0
"605",2003,"MYS",21721,"WHO_WHS",0,0,0
"607",2013,"NAM",150382,"MACRO_DHS",0,0,0
"609",2000,"NAM",20417,"MACRO_DHS",0,0,0
"611",2006,"NAM",20428,"MACRO_DHS",0,0,0
"613",2003,"NAM",21777,"WHO_WHS",0,0,0
"615",2006,"NER",20499,"MACRO_DHS",0,0,0
"617",1998,"NER",20537,"MACRO_DHS",0,0,0
"619",2012,"NER",74393,"MACRO_DHS",0,0,0
"621",2000,"NER",9439,"UNICEF_MICS",0,0,0
"623",2003,"NGA",20567,"MACRO_DHS",0,0,0
"625",2008,"NGA",21433,"MACRO_DHS",0,0,0
"627",2015,"NGA",218590,"MACRO_MIS",0,0,0
"629",2010,"NGA",30991,"MACRO_MIS",0,0,0
"631",2011,"NGA",76703,"UNICEF_MICS",0,0,0
"633",2013,"NGA",77390,"MACRO_DHS",0,0,0
"635",2007,"NGA",9516,"UNICEF_MICS",0,0,0
"637",2007,"NGA",151312,"IPUMS_CENSUS",0,0,0
"639",2008,"NGA",151313,"IPUMS_CENSUS",0,0,0
"641",2009,"NGA",151314,"IPUMS_CENSUS",0,0,0
"643",2010,"NGA",151317,"IPUMS_CENSUS",0,0,0
"645",2001,"NIC",20487,"MACRO_DHS",0,0,0
"647",2005,"NIC",56520,"IPUMS_CENSUS",0,0,0
"649",2014,"NPL",162317,"UNICEF_MICS",0,0,0
"651",2016,"NPL",286782,"MACRO_DHS",0,0,0
"653",2010,"NPL",39999,"UNICEF_MICS",0,0,0
"655",2001,"NPL",20450,"MACRO_DHS",0,0,0
"657",2006,"NPL",20462,"MACRO_DHS",0,0,0
"659",2011,"NPL",21240,"MACRO_DHS",0,0,0
"661",2003,"NPL",21785,"WHO_WHS",0,0,0
"663",2006,"PAK",20595,"MACRO_DHS",0,0,0
"665",2014,"PAK",236266,"UNICEF_MICS",0,0,0
"667",2012,"PAK",77521,"MACRO_DHS",0,0,0
"669",2013,"PAK",77521,"MACRO_DHS",0,0,0
"671",1998,"PAK",41099,"IPUMS_CENSUS",0,0,0
"673",2013,"PAN",161587,"UNICEF_MICS",0,0,0
"675",2010,"PAN",106529,"IPUMS_CENSUS",0,0,0
"677",2000,"PAN",40907,"IPUMS_CENSUS",0,0,0
"679",2013,"PER",146860,"MACRO_DHS",0,0,0
"681",2000,"PER",20649,"MACRO_DHS",0,0,0
"684",2009,"PER",270404,"MACRO_DHS",0,0,0
"686",2012,"PER",270471,"MACRO_DHS",0,0,0
"688",2005,"PER",275090,"MACRO_DHS",0,0,0
"690",2003,"PER",275090,"MACRO_DHS",0,0,0
"692",2004,"PER",275090,"MACRO_DHS",0,0,0
"694",2010,"PER",270469,"MACRO_DHS",0,0,0
"696",2006,"PER",275090,"MACRO_DHS",0,0,0
"698",2007,"PER",41267,"IPUMS_CENSUS",0,0,0
"700",2007,"PER",275090,"MACRO_DHS",0,0,0
"702",2008,"PER",275090,"MACRO_DHS",0,0,0
"704",2011,"PER",270470,"MACRO_DHS",0,0,0
"706",2014,"PER",209930,"MACRO_DHS",0,0,0
"711",2013,"PHL",142943,"MACRO_DHS",0,0,0
"713",1998,"PHL",20683,"MACRO_DHS",0,0,0
"715",2003,"PHL",20699,"MACRO_DHS",0,0,0
"717",2008,"PHL",21421,"MACRO_DHS",0,0,0
"719",2000,"PHL",41296,"IPUMS_CENSUS",0,0,0
"721",2006,"PNG",44870,"ADB_DHS",0,0,0
"723",2000,"PNG",58191,"COUNTRY_SPECIFIC",0,0,0
"725",2003,"PRY",21811,"WHO_WHS",0,0,0
"727",2010,"PSE",125591,"UNICEF_MICS",0,0,0
"729",2014,"PSE",161590,"UNICEF_MICS",0,0,0
"731",2004,"PSE",20596,"COUNTRY_SPECIFIC",0,0,0
"733",2014,"RWA",157063,"MACRO_DHS",0,0,0
"735",2000,"RWA",20722,"MACRO_DHS",0,0,0
"737",2005,"RWA",20740,"MACRO_DHS",0,0,0
"739",2000,"RWA",26930,"UNICEF_MICS",0,0,0
"741",2010,"RWA",56040,"MACRO_DHS",0,0,0
"743",2011,"RWA",56426,"MACRO_DHS",0,0,0
"745",2012,"RWA",77391,"MACRO_MIS",NA,0,0
"746",2002,"RWA",42432,"IPUMS_CENSUS",0,0,0
"748",2010,"SDN",153643,"UNICEF_MICS",0,0,0
"750",2014,"SDN",200617,"UNICEF_MICS",0,0,0
"752",2006,"SDN",24143,"ARAB_LEAGUE_PAPFAM",0,0,0
"754",2000,"SDN",12243,"UNICEF_MICS",0,0,0
"756",2008,"SDN",106548,"IPUMS_CENSUS",0,0,0
"758",2012,"SEN",111432,"MACRO_DHS",0,0,0
"760",2006,"SEN",11516,"MACRO_MIS",NA,0,0
"761",2009,"SEN",11540,"MACRO_MIS",NA,0,0
"762",2014,"SEN",191270,"MACRO_DHS",0,0,0
"764",2015,"SEN",218592,"MACRO_DHS",0,0,0
"766",2005,"SEN",26855,"MACRO_DHS",0,0,0
"768",2000,"SEN",27044,"UNICEF_MICS",0,0,0
"770",2016,"SEN",286772,"MACRO_DHS",0,0,0
"772",2010,"SEN",56063,"MACRO_DHS",0,0,0
"774",1999,"SEN",20786,"MACRO_DHS",NA,1,1
"775",2002,"SEN",43142,"IPUMS_CENSUS",0,0,0
"777",2003,"SEN",21840,"WHO_WHS",0,1,1
"779",2013,"SLE",131467,"MACRO_DHS",0,0,0
"781",2008,"SLE",21258,"MACRO_DHS",0,0,0
"783",2010,"SLE",76700,"UNICEF_MICS",0,0,0
"785",2005,"SLE",11649,"UNICEF_MICS",0,0,0
"787",2000,"SLE",11639,"UNICEF_MICS",0,0,0
"789",2004,"SLE",11661,"IPUMS_CENSUS",0,0,0
"791",2016,"SLE",286773,"MACRO_MIS",NA,0,0
"792",2007,"SLV",56476,"IPUMS_CENSUS",0,0,0
"794",2006,"SOM",11774,"UNICEF_MICS",0,0,0
"796",2011,"SOM",91507,"UNICEF_MICS",0,0,0
"798",2011,"SOM",91508,"UNICEF_MICS",0,0,0
"800",2010,"SSD",32189,"UNICEF_MICS",0,0,0
"802",2014,"STP",214640,"UNICEF_MICS",0,0,0
"806",2008,"STP",26866,"MACRO_DHS",0,0,0
"808",2000,"STP",27055,"UNICEF_MICS",0,0,0
"810",2010,"SUR",81203,"UNICEF_MICS",0,0,0
"812",1999,"SUR",12280,"UNICEF_MICS",0,0,0
"814",2006,"SWZ",20829,"MACRO_DHS",0,0,0
"816",2010,"SWZ",30325,"UNICEF_MICS",0,0,0
"818",2000,"SWZ",12320,"UNICEF_MICS",0,0,0
"820",2003,"SWZ",21888,"WHO_WHS",0,0,0
"822",2006,"SYR",12399,"UNICEF_MICS",0,0,0
"824",2014,"TCD",157025,"MACRO_DHS",0,0,0
"826",2004,"TCD",19315,"MACRO_DHS",0,0,0
"828",2000,"TCD",2244,"UNICEF_MICS",0,0,0
"830",2010,"TCD",76701,"UNICEF_MICS",0,0,0
"832",2003,"TCD",21510,"WHO_WHS",0,0,0
"834",2006,"TGO",12896,"UNICEF_MICS",0,0,0
"836",1998,"TGO",20909,"MACRO_DHS",0,0,0
"838",2010,"TGO",40021,"UNICEF_MICS",0,0,0
"840",2013,"TGO",77515,"MACRO_DHS",0,0,0
"842",2000,"TGO",12886,"UNICEF_MICS",0,0,0
"844",2012,"THA",148649,"UNICEF_MICS",0,0,0
"846",2000,"THA",43231,"IPUMS_CENSUS",0,0,0
"848",1999,"TJK",12455,"WB_LSMS",0,0,0
"850",2003,"TJK",12489,"WB_LSMS",0,0,0
"852",2007,"TJK",12584,"WB_LSMS",0,0,0
"854",2000,"TJK",12595,"UNICEF_MICS",0,0,0
"856",2005,"TJK",12608,"UNICEF_MICS",0,0,0
"858",2009,"TJK",46613,"WB_LSMS",0,0,0
"860",2012,"TJK",74460,"MACRO_DHS",0,0,0
"862",2006,"TKM",13064,"UNICEF_MICS",1,1,1
"864",2015,"TKM",264583,"UNICEF_MICS",0,0,0
"866",2009,"TLS",21274,"MACRO_DHS",0,0,0
"868",2016,"TLS",286785,"MACRO_DHS",0,0,0
"870",2001,"TLS",12863,"WB_LSMS",0,0,0
"872",2003,"TLS",20888,"ADB_DHS",0,0,0
"874",2011,"TUN",76709,"UNICEF_MICS",0,0,0
"876",2003,"TZA",12630,"MACRO_AIS",0,0,0
"878",2008,"TZA",12644,"MACRO_AIS",0,0,0
"880",1999,"TZA",20865,"MACRO_DHS",0,0,0
"882",2004,"TZA",20875,"MACRO_DHS",0,0,0
"884",2009,"TZA",21331,"MACRO_DHS",0,0,0
"886",2015,"TZA",218593,"MACRO_DHS",0,0,0
"888",2016,"TZA",218593,"MACRO_DHS",0,0,0
"890",2011,"TZA",77395,"MACRO_AIS",0,0,0
